,DateTime,Tweet Id,Tweet,Username,Location,Tweet_Preprocessed,sentiment
0,2022-12-07 11:56:33+00:00,1600459243060342784,@iinleztarie Ya namanya juga masalah uang pasti rame lah ya #bersamajuara #ridwankamil,govinditakaren,,ya nama uang ramai ya,Bahagia
1,2022-12-07 04:29:49+00:00,1600346819275685889,"Teror Bom Bunuh Diri di Polsek Astana Anyar Kota Bandung, Begini Respons Cepat Ridwan Kamil https://t.co/wtFuXaaCjy",SejarahLokal,,teror bom bunuh polisi sektor astana anyar kota bandung respons cepat ridwan kamil,Sedih
2,2022-12-18 03:18:16+00:00,1604315078806761473,"Dedi Mulyadi- Sule Prikitiew Bakal Ramaikan Pilgub Jabar 2024, Pengamat Politik: Keren, Bisa Ganjal @ridwankamil 
 https://t.co/xp5jQznLRT",Wisesa2024,,dedi mulyadi sule prikitiew ramai pilih gubernur jabar politik keren ganjal,Bahagia
3,2022-12-04 08:55:17+00:00,1599326461558927363,"@Biang05553051 @Karsono12732862 @Meey1235 @AdilJuju @tanya_napa @brew_oq @Wawan_74 @Afridu6 @yantireinke @Sigromilir01 @winoto_ali @mamat_tobat @Anwarbohebo @HeryIdris5 @ESitohag @Uplu7 @NembeNetes @panjianom102 @veelgeno @Bonaleles @AlamTimur3 @syahriyalkamil @topan268 @suprayoga123 @ntar_yaa @rondamedsos @alekda @Jebenk63285910 @12uwongdeso @wbintoro101209 @shield17845 @mahasiswigenz @KemurahanTuhan @K7_m0en @Mantova42167289 @Wandystjk @dwynur666 @salimbonim @AKamas0911 @Juniwun_007 @Humaira922 @ridwankamil @H_HermanCianjur @infocianjur @PemkabCianjur @pemkabcjr @BPBDJabar @Poldajabar @ResNgawi @TukangMu Rakyat yg menilai..??
Saya juga rakyat yg berhak menilai..🤣🤣
Tp dia sapa sih..
Capres..?????
Bukan kok.
🤣🤣🤣🤣🤣",Diek_Clev,,rakyat nilai rakyat hak nilai sapa sih calon presiden,Bahagia
4,2022-12-16 02:06:14+00:00,1603572178003578881,@thalitasdfghjkl @ridwankamil Mohon maaf pak mau sampai kapan kabupaten bekasi kaya gini pak?,cloudsample,,mohon maaf kabupaten bekas kayak,Marah
5,2018-03-12 05:59:49+00:00,973076074543308800,"Jaga kesehatan, menjelang depat kandidat pertama @ridwankamil @uuruzhan @syaikhu_ahmad @MayjenSudrajat @tbhasanuddin @AntonCharlian @Deddy_Mizwar_ @DediMulyadi71 https://t.co/ovNFE43Wtr",Acep_9,"Kota Yogyakarta, Yogyakarta",jaga sehat jelang depat kandidat,Bahagia
6,2022-12-07 09:00:01+00:00,1600414819047264256,"Gubernur Jabar Ridwan Kamil ungkap situasi Kota Bandung usai peristiwa bom bunuh diri.
#HindariPahamRadikal
Kami Tidak Takut https://t.co/oMj3bqXonL",SadinaAlexa,,gubernur jabar ridwan kamil situasi kota bandung peristiwa bom bunuh takut,Sedih
7,2022-12-04 15:59:34+00:00,1599433237717454849,"Gut marsogut nih berita, kang Emil emg pantas Jadi Cawapres 2024 #bersamajuara #ridwankamil https://t.co/waAKUVFNE4",DimdimMasdim,,gut marsogut nih berita kang emil calon wakil presiden,Sedih
8,2022-12-15 13:06:08+00:00,1603375856768155648,"Kunjungi Depok, Ridwan Kamil Harapkan Soal Ini di Alun-alun GDC https://t.co/dslvDpuiaw",eko_ahdayanto,,kunjung depok ridwan kamil harap alun alun gdc,Bahagia
9,2022-12-18 13:34:48+00:00,1604470235155025920,@aku_penggembira @ridwankamil Yes harapan kami Kang @ridwankamil bisa maju dalam kontestasi Pilpres 2024 #bersamajuara,rendriyuandra,,iya harap kang maju kontestasi pilih presiden,Bahagia
